7634023,OFDM,10,1,15
7634023,ACI,3,2,15
7634023,FIR,22,3,15
7634023,ISI,2,4,15
7634023,FPGA,5,5,15
7634023,ASIC,5,6,15
7634023,FFT,1,7,15
7634023,FEC,2,8,15
7634023,TOLL,5,9,15
7634023,BPSK,1,10,15
7634023,QPSK,2,11,15
7634023,PSK,1,12,15
7634023,EQU,1,13,15
7634023,RMS,1,14,15
7634023,MAC,6,15,15
7656958,OFDM,16,1,9
7656958,ISI,2,2,9
7656958,FFT,1,3,9
7656958,IEEE,1,4,9
7656958,PSK,2,5,9
7656958,DSP,3,6,9
7656958,ASIC,2,7,9
7656958,MRC,1,8,9
7656958,MMSE,1,9,9
7729281,OFDM,4,1,33
7729281,IEEE,3,2,33
7729281,LAN,6,3,33
7729281,BPSC,1,4,33
7729281,BSS,1,5,33
7729281,IBSS,1,6,33
7729281,BAT,5,7,33
7729281,SNR,9,8,33
7729281,BER,4,9,33
7729281,ADSL,4,10,33
7729281,ITU,1,11,33
7729281,QAM,1,12,33
7729281,ISI,2,13,33
7729281,ICI,2,14,33
7729281,SIGNAL,23,15,33
7729281,NAV,9,16,33
7729281,BPSK,1,17,33
7729281,STA,17,18,33
7729281,RATE,14,19,33
7729281,LENGTH,14,20,33
7729281,CRC,1,21,33
7729281,DSL,1,22,33
7729281,XDSL,1,23,33
7729281,VDSL,1,24,33
7729281,ASIC,1,25,33
7729281,PLD,1,26,33
7729281,PLA,1,27,33
7729281,FPGA,1,28,33
7729281,PAL,1,29,33
7729281,VLSI,1,30,33
7729281,JAVA,1,31,33
7729281,RTM,1,32,33
7729281,CGI,1,33,33
7783291,PATENT,3,1,99
7783291,USPTO,13,2,99
7783291,CITED,1,3,99
7783291,TDOA,1,4,99
7783291,FDOA,1,5,99
7783291,MRI,5,6,99
7783291,NRZ,2,7,99
7783291,FMOD,2,8,99
7783291,TDMA,15,9,99
7783291,FDMA,4,10,99
7783291,CDMA,28,11,99
7783291,WCDMA,12,12,99
7783291,CSMA,5,13,99
7783291,FQPSK,2,14,99
7783291,FGMSK,1,15,99
7783291,FQAM,1,16,99
7783291,GSM,34,17,99
7783291,OFDN,1,18,99
7783291,GMSK,7,19,99
7783291,OFDM,14,20,99
7783291,BRA,15,21,99
7783291,MFS,16,22,99
7783291,ULTRA,4,23,99
7783291,AND,9,24,99
7783291,FOR,3,25,99
7783291,WIRED,2,26,99
7783291,HYBRID,2,27,99
7783291,SPREAD,1,28,99
7783291,GPP,3,29,99
7783291,FDD,1,30,99
7783291,EDGE,7,31,99
7783291,PCS,2,32,99
7783291,IEEE,12,33,99
7783291,MSM,4,34,99
7783291,PTR,1,35,99
7783291,ISBN,3,36,99
7783291,UMTS,2,37,99
7783291,RFID,12,38,99
7783291,EOEM,1,39,99
